"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","TCP Segment Len","Window size value","Acknowledgment number","Info"
"1","0.000000","121.51.46.115","192.168.137.72","TCP","54","14000","38492","0","21","1","14000  >  38492 [ACK] Seq=1 Ack=1 Win=21 Len=0"
"2","0.100872","192.168.137.72","121.51.46.115","TCP","54","38492","14000","0","449","2","[TCP ACKed unseen segment] 38492  >  14000 [ACK] Seq=1 Ack=2 Win=449 Len=0"
"3","0.239613","192.168.137.1","239.255.255.250","SSDP","456","","","","","","NOTIFY * HTTP/1.1 "
"4","0.239692","192.168.137.1","239.255.255.250","SSDP","448","","","","","","NOTIFY * HTTP/1.1 "
"5","0.239803","192.168.137.1","239.255.255.250","SSDP","512","","","","","","NOTIFY * HTTP/1.1 "
"6","0.241411","192.168.137.1","239.255.255.250","SSDP","504","","","","","","NOTIFY * HTTP/1.1 "
"7","0.242931","192.168.137.1","239.255.255.250","SSDP","510","","","","","","NOTIFY * HTTP/1.1 "
"8","0.244409","192.168.137.1","239.255.255.250","SSDP","522","","","","","","NOTIFY * HTTP/1.1 "
"9","0.245948","192.168.137.1","239.255.255.250","SSDP","520","","","","","","NOTIFY * HTTP/1.1 "
"10","0.348539","192.168.137.1","239.255.255.250","SSDP","456","","","","","","NOTIFY * HTTP/1.1 "
"11","0.348646","192.168.137.1","239.255.255.250","SSDP","448","","","","","","NOTIFY * HTTP/1.1 "
"12","0.348704","192.168.137.1","239.255.255.250","SSDP","512","","","","","","NOTIFY * HTTP/1.1 "
"13","0.350271","192.168.137.1","239.255.255.250","SSDP","504","","","","","","NOTIFY * HTTP/1.1 "
"14","0.351903","192.168.137.1","239.255.255.250","SSDP","510","","","","","","NOTIFY * HTTP/1.1 "
"15","0.353498","192.168.137.1","239.255.255.250","SSDP","522","","","","","","NOTIFY * HTTP/1.1 "
"16","0.354916","192.168.137.1","239.255.255.250","SSDP","520","","","","","","NOTIFY * HTTP/1.1 "
"17","0.369741","192.168.137.72","121.51.139.199","TCP","74","45981","8089","0","65535","0","45981  >  8089 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981717 TSecr=0 WS=256"
