"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","TCP Segment Len","Window size value","Acknowledgment number","Info"
"1","0.000000","192.168.137.72","192.168.137.1","DNS","77","","","","","","Standard query 0xa03b A plbslog.umeng.com"
"2","0.003237","192.168.137.1","192.168.137.72","DNS","326","","","","","","Standard query response 0xa03b A plbslog.umeng.com CNAME dualstack-na61-na62.wagbridge.alibaba.tanx.com CNAME dualstack-na61-na62.wagbridge.alibaba.tanx.com.gds.alibabadns.com A 203.119.207.251 NS ns1.alibabadns.com NS ns2.alibabadns.com A 198.11.138.254 A 140.205.122.66 A 140.205.67.254 A 106.11.35.18"
"3","0.110801","192.168.137.72","192.168.137.1","DNS","80","","","","","","Standard query 0xc779 A ulogs.umengcloud.com"
"4","0.115836","192.168.137.1","192.168.137.72","DNS","317","","","","","","Standard query response 0xc779 A ulogs.umengcloud.com CNAME et2-na61-na62.wagbridge.alibaba.tanx.com CNAME et2-na61-na62.wagbridge.alibaba.tanx.com.gds.alibabadns.com A 203.119.214.125 NS ns2.alibabadns.com NS ns1.alibabadns.com A 198.11.138.254 A 140.205.122.66 A 106.11.35.18 A 140.205.67.254"
"5","1.045066","58.205.214.147","192.168.137.72","TCP","54","80","49505","0","980","1","80  >  49505 [FIN, ACK] Seq=1 Ack=1 Win=980 Len=0"
"6","1.045205","58.205.214.147","192.168.137.72","TCP","54","80","49509","0","980","1","80  >  49509 [FIN, ACK] Seq=1 Ack=1 Win=980 Len=0"
"7","1.192392","192.168.137.72","58.205.214.147","TCP","54","49509","80","0","347","2","49509  >  80 [ACK] Seq=1 Ack=2 Win=347 Len=0"
"8","1.192398","192.168.137.72","58.205.214.147","TCP","54","49505","80","0","347","2","49505  >  80 [ACK] Seq=1 Ack=2 Win=347 Len=0"
"9","1.838802","192.168.137.72","192.168.137.1","DNS","72","","","","","","Standard query 0x8bf3 A aps.amap.com"
"10","1.841230","192.168.137.1","192.168.137.72","DNS","332","","","","","","Standard query response 0x8bf3 A aps.amap.com CNAME aps.amap.com.gds.alibabadns.com CNAME wagbridge.gaode.com CNAME et2-su18-na62.wagbridge.gaode.com CNAME et2-su18-na62.wagbridge.gaode.com.gds.alibabadns.com A 140.205.172.75 NS ns1.alibabadns.com NS ns2.alibabadns.com A 198.11.138.254 A 140.205.122.66 A 140.205.67.254 A 106.11.35.18"
"11","1.843113","192.168.137.72","140.205.172.75","TCP","74","46116","80","0","65535","0","46116  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3941592 TSecr=0 WS=256"
"12","1.892637","140.205.172.75","192.168.137.72","TCP","74","80","46116","0","12960","1","80  >  46116 [SYN, ACK] Seq=0 Ack=1 Win=12960 Len=0 MSS=1452 SACK_PERM=1"
"13","1.893569","192.168.137.72","140.205.172.75","TCP","54","46116","80","0","65535","1","46116  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"14","1.893912","192.168.137.72","140.205.172.75","HTTP","1057","46116","80","1003","65535","1","POST /APS/r?ver=4.7&q=0&csid=9b1562cf-d441-4ad8-b967-7d76b9982c91 HTTP/1.1 "
"15","1.943883","140.205.172.75","192.168.137.72","TCP","54","80","46116","0","9027","1004","80  >  46116 [ACK] Seq=1 Ack=1004 Win=9027 Len=0"
"16","1.949029","140.205.172.75","192.168.137.72","TCP","358","80","46116","304","9027","1004","80  >  46116 [PSH, ACK] Seq=1 Ack=1004 Win=9027 Len=304 [TCP segment of a reassembled PDU]"
"17","1.949066","140.205.172.75","192.168.137.72","TCP","796","80","46116","742","9027","1004","80  >  46116 [PSH, ACK] Seq=305 Ack=1004 Win=9027 Len=742 [TCP segment of a reassembled PDU]"
"18","1.949088","140.205.172.75","192.168.137.72","HTTP","59","80","46116","5","9027","1004","HTTP/1.1 200  "
"19","1.949994","192.168.137.72","140.205.172.75","TCP","54","46116","80","0","65535","305","46116  >  80 [ACK] Seq=1004 Ack=305 Win=65535 Len=0"
